source_csv,model,seq_len,seed,batch_size,steps,parameters,eval_answer_exact,eval_answer_ce,eval_retrieval_top1,eval_retrieval_topk,eval_true_fact_written_rate,eval_false_write_rate,eval_missed_fact_rate,train_wall_time_sec,examples_per_sec_recent,peak_vram_mb,run_dir,step_log_path
results/raw/hpm_v2_4096_seed0_tf600_lw03_bs4.csv,hpm_lite_v2,4096,0,4,600,1051272,1.0,0.0,1.0,1.0,1.0,0.0,0.0,547.912759632,4.37738603471759,8419.12255859375,runs/memory_model/20260628_123525_hpm_lite_v2_kv_seed0,runs/memory_model/20260628_123525_hpm_lite_v2_kv_seed0/step_log.csv
results/raw/hpm_v2_4096_seed1_tf600_lw03_bs4.csv,hpm_lite_v2,4096,1,4,600,1051272,0.975,2.5804327011108397,1.0,1.0,0.98125,0.01875,0.01875,547.5788489979999,4.385192808978652,8419.12255859375,runs/memory_model/20260628_121833_hpm_lite_v2_kv_seed1,runs/memory_model/20260628_121833_hpm_lite_v2_kv_seed1/step_log.csv
results/raw/hpm_v2_4096_seed2_tf600_lw03_bs4.csv,hpm_lite_v2,4096,2,4,600,1051272,1.0,0.0,1.0,1.0,1.0,0.0,0.0,553.243443847,4.340422762121192,8419.12255859375,runs/memory_model/20260628_121833_hpm_lite_v2_kv_seed2,runs/memory_model/20260628_121833_hpm_lite_v2_kv_seed2/step_log.csv
results/raw/hpm_v2_4096_seed3_tf600_lw03_bs4.csv,hpm_lite_v2,4096,3,4,600,1051272,1.0,0.0,1.0,1.0,0.975,0.025,0.025,552.2520743770001,4.3352116147691975,8419.12255859375,runs/memory_model/20260628_123525_hpm_lite_v2_kv_seed3,runs/memory_model/20260628_123525_hpm_lite_v2_kv_seed3/step_log.csv
results/raw/hpm_v2_4096_seed4_tf600_lw03_bs4.csv,hpm_lite_v2,4096,4,4,600,1051272,1.0,0.0,1.0,1.0,0.990625,0.009375,0.009375,547.6104131679995,4.389077165895808,8419.12255859375,runs/memory_model/20260628_132356_hpm_lite_v2_kv_seed4,runs/memory_model/20260628_132356_hpm_lite_v2_kv_seed4/step_log.csv
results/raw/hpm_v2_4096_seed5_tf600_lw03_bs4.csv,hpm_lite_v2,4096,5,4,600,1051272,1.0,0.0,1.0,1.0,1.0,0.0,0.0,555.6344356579998,4.32356611301502,8419.12255859375,runs/memory_model/20260628_132417_hpm_lite_v2_kv_seed5,runs/memory_model/20260628_132417_hpm_lite_v2_kv_seed5/step_log.csv
results/raw/hpm_v2_8192_seed0_tf600_lw03_bs2.csv,hpm_lite_v2,8192,0,2,600,1575560,0.9,7.37902946472168,1.0,1.0,0.95625,0.04375,0.04375,899.065893965,1.335070370429089,8425.40869140625,runs/memory_model/20260628_124443_hpm_lite_v2_kv_seed0,runs/memory_model/20260628_124443_hpm_lite_v2_kv_seed0/step_log.csv
results/raw/hpm_v2_8192_seed1_tf600_lw03_bs2.csv,hpm_lite_v2,8192,1,2,600,1575560,0.95,5.053446960449219,1.0,1.0,0.96875,0.03125,0.03125,905.1246469739999,1.328345302480851,8425.40869140625,runs/memory_model/20260628_124443_hpm_lite_v2_kv_seed1,runs/memory_model/20260628_124443_hpm_lite_v2_kv_seed1/step_log.csv
results/raw/hpm_v2_8192_seed2_tf600_lw03_bs2.csv,hpm_lite_v2,8192,2,2,600,1575560,1.0,0.0,1.0,1.0,0.9875,0.0125,0.0125,897.886254264,1.3343577977767773,8425.40869140625,runs/memory_model/20260628_133307_hpm_lite_v2_kv_seed2,runs/memory_model/20260628_133307_hpm_lite_v2_kv_seed2/step_log.csv
results/raw/hpm_v2_8192_seed3_tf600_lw03_bs2.csv,hpm_lite_v2,8192,3,2,600,1575560,1.0,0.0,1.0,1.0,0.96875,0.03125,0.03125,906.0907623090006,1.3242723907427059,8425.40869140625,runs/memory_model/20260628_133335_hpm_lite_v2_kv_seed3,runs/memory_model/20260628_133335_hpm_lite_v2_kv_seed3/step_log.csv
results/raw/hpm_v2_4096_seed0_tf200_lw03_bs4.csv,hpm_lite_v2,4096,0,4,600,1051272,0.95,0.6827479153870485,1.0,1.0,0.91875,0.08125,0.08125,548.1282527429998,4.381077669012966,8419.12255859375,runs/memory_model/20260628_125945_hpm_lite_v2_kv_seed0,runs/memory_model/20260628_125945_hpm_lite_v2_kv_seed0/step_log.csv
results/raw/hpm_v2_4096_seed1_tf200_lw03_bs4.csv,hpm_lite_v2,4096,1,4,600,1051272,0.8,2.6843119263648987,1.0,1.0,0.859375,0.140625,0.140625,556.2298356050001,4.31732645770913,8419.12255859375,runs/memory_model/20260628_125951_hpm_lite_v2_kv_seed1,runs/memory_model/20260628_125951_hpm_lite_v2_kv_seed1/step_log.csv
results/raw/hpm_v2_8192_seed0_tf200_lw03_bs2.csv,hpm_lite_v2,8192,0,2,600,1575560,0.9,0.9625832974904143,1.0,1.0,0.75,0.25,0.25,897.8550628900002,1.3375722448056269,8425.40869140625,runs/memory_model/20260628_130856_hpm_lite_v2_kv_seed0,runs/memory_model/20260628_130856_hpm_lite_v2_kv_seed0/step_log.csv
results/raw/hpm_v2_8192_seed1_tf200_lw03_bs2.csv,hpm_lite_v2,8192,1,2,600,1575560,0.75,3.9323410093784332,1.0,1.0,0.71875,0.28125,0.28125,904.2732852879999,1.3297721837269576,8425.40869140625,runs/memory_model/20260628_130910_hpm_lite_v2_kv_seed1,runs/memory_model/20260628_130910_hpm_lite_v2_kv_seed1/step_log.csv
